presence_penalty,Null Counts
presence_penalty_0.0,0
presence_penalty_0.1,0
presence_penalty_0.2,0
presence_penalty_0.3,0
presence_penalty_0.4,0
presence_penalty_0.5,0
presence_penalty_0.6,0
presence_penalty_0.7,0
presence_penalty_0.8,0
presence_penalty_0.9,0
presence_penalty_1.0,0
presence_penalty_1.1,0
presence_penalty_1.2,0
presence_penalty_1.3,0
presence_penalty_1.4,1
presence_penalty_1.5,0
presence_penalty_1.6,0
presence_penalty_1.7,0
presence_penalty_1.8,0
presence_penalty_1.9,0
presence_penalty_2.0,0
